University name,City,State,Nursing Degrees,Slug
"University of North Carolina at Charlotte, The",charlotte-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-north-carolina-at-charlotte-the
Eastern Washington University,cheney-wa,washington,bachelor-of-science-nursing,eastern-washington-university
University of Tennessee at Chattanooga,chattanooga-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-tennessee-at-chattanooga
University of Virginia,charlottesville-va,virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-virginia
Ralph H. Johnson Veterans Administration Medical Center,charleston-sc,south-carolina,federally-funded-traineeship-residency,ralph-h-johnson-veterans-administration-medical-center
Widener University,chester-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,widener-university
Sentara College of Health Sciences,chesapeake-va,virginia,bachelor-of-science-nursing; master-of-science-nursing,sentara-college-of-health-sciences
Carolinas College of Health Sciences,charlotte-nc,north-carolina,bachelor-of-science-nursing,carolinas-college-of-health-sciences
Queens University of Charlotte,charlotte-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing,queens-university-of-charlotte
Saint Xavier University,chicago-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,saint-xavier-university
North Park University,chicago-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,north-park-university
Boston College,chestnut-hill-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,boston-college
Rush University,chicago-il,illinois,master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,rush-university
DePaul University,chicago-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,depaul-university
Roosevelt University,chicago-il,illinois,bachelor-of-science-nursing,roosevelt-university
Chamberlain University,chicago-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,chamberlain-university
University of Cincinnati,cincinnati-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-cincinnati
Mount St. Joseph University,cincinnati-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,mount-st-joseph-university
University of Illinois at Chicago,chicago-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-illinois-at-chicago
"California State University, Chico",chico-ca,california,bachelor-of-science-nursing; master-of-science-nursing,california-state-university-chico
Elms College,chicopee-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,elms-college
Xavier University,cincinnati-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,xavier-university
"Christ College of Nursing and Health Sciences, The",cincinnati-oh,ohio,bachelor-of-science-nursing,christ-college-of-nursing-and-health-sciences-the
Truett McConnell University,cleveland-ga,georgia,bachelor-of-science-nursing,truett-mcconnell-university
Case Western Reserve University,cleveland-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,case-western-reserve-university
Cleveland State University,cleveland-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,cleveland-state-university
Austin Peay State University,clarksville-tn,tennessee,bachelor-of-science-nursing,austin-peay-state-university
Lee University,cleveland-tn,tennessee,bachelor-of-science-nursing; doctor-of-nursing,lee-university
Clemson University,,south-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,clemson-university
Delta State University,cleveland-ms,mississippi,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,delta-state-university
MedStar Southern Maryland Hospital Center,clinton-md,maryland,employee-based-entry-to-practice-residency,medstar-southern-maryland-hospital-center
Colorado Technical University,colorado-springs-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,colorado-technical-university
Pikes Peak State College,colorado-springs-co,colorado,bachelor-of-science-nursing,pikes-peak-state-college
Walla Walla University,college-place-wa,washington,bachelor-of-science-nursing,walla-walla-university
St. John's University,,minnesota,bachelor-of-science-nursing; doctor-of-nursing,st-johns-university
"University of Missouri, Columbia",columbia-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-missouri-columbia
University of Colorado at Colorado Springs,colorado-springs-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-colorado-at-colorado-springs
Mississippi College,clinton-ms,mississippi,bachelor-of-science-nursing; master-of-science-nursing,mississippi-college
"Columbia College, Missouri",columbia-mo,missouri,bachelor-of-science-nursing,columbia-college-missouri
Lindsey Wilson University,columbia-ky,kentucky,bachelor-of-science-nursing,lindsey-wilson-university
Columbia International University,columbia-sc,south-carolina,bachelor-of-science-nursing,columbia-international-university
"Ohio State University, The",columbus-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,ohio-state-university-the
Columbus State University,columbus-ga,georgia,bachelor-of-science-nursing; master-of-science-nursing,columbus-state-university
Capital University,columbus-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing,capital-university
Mount Carmel College of Nursing,columbus-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mount-carmel-college-of-nursing
Franklin University,columbus-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,franklin-university
Indiana University Columbus,columbus-in,indiana,bachelor-of-science-nursing,indiana-university-columbus
University of South Carolina,columbia-sc,south-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-south-carolina
Mississippi University for Women,columbus-ms,mississippi,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mississippi-university-for-women
Tennessee Technological University,cookeville-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,tennessee-technological-university
University of Central Arkansas,conway-ar,arkansas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-central-arkansas
East Texas A&M University,commerce-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,east-texas-a-m-university
University of Miami,coral-gables-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-miami
Cabarrus College of Health Sciences,concord-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing,cabarrus-college-of-health-sciences
Texas A&M University-Corpus Christi,corpus-christi-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,texas-a-m-university-corpus-christi
Pacific College,costa-mesa-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,pacific-college
Children's Health,dallas-tx,texas,employee-based-entry-to-practice-residency,childrens-health
Vanguard University of Southern California,costa-mesa-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,vanguard-university-of-southern-california
Misericordia University,dallas-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,misericordia-university
Baylor University,dallas-tx,texas,bachelor-of-science-nursing; doctor-of-nursing,baylor-university
"Western Carolina University, Cullowhee",,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,western-carolina-university-cullowhee
Wright State University,dayton-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,wright-state-university
Western Connecticut State University,danbury-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,western-connecticut-state-university
Atlanta VA Health Care System,decatur-ga,georgia,employee-based-entry-to-practice-residency; federally-funded-traineeship-residency; nurse-practitioner-residency,atlanta-va-health-care-system
Saint Ambrose University,davenport-ia,iowa,bachelor-of-science-nursing,saint-ambrose-university
Lakeview College of Nursing,danville-il,illinois,bachelor-of-science-nursing,lakeview-college-of-nursing
Averett University,danville-va,virginia,bachelor-of-science-nursing,averett-university
Millikin University,decatur-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,millikin-university
VA North Texas Health Care System,dallas-tx,texas,federally-funded-traineeship-residency; nurse-practitioner-residency,va-north-texas-health-care-system
University of Dayton,dayton-oh,ohio,bachelor-of-science-nursing,university-of-dayton
Denver College of Nursing,denver-co,colorado,bachelor-of-science-nursing; master-of-science-nursing,denver-college-of-nursing
State University of New York at Delhi,delhi-ny,new-york,master-of-science-nursing,state-university-of-new-york-at-delhi
